Specie,Enzyme,EC number,Target sugar,Description,Status,Source ID (NCBI)
Pseudoscourfieldia marina,beta-fructofuranosidase,3.2.1.26,sucrose,beta-fructofuranosidase [Pseudoscourfieldia marina],🟢 Confirmed,XRB24056.1
Pycnococcus provasolii,beta-fructofuranosidase,3.2.1.26,sucrose,beta-fructofuranosidase [Pycnococcus provasolii],🟢 Confirmed,XRB08729.1
Leptolyngbya sp. FACHB-671,beta-fructofuranosidase,3.2.1.26,sucrose,CbiQ family ECF transporter T component [Leptolyngbya sp. FACHB-671],🟢 Confirmed,WP_190685002.1
Cyanophyceae,beta-fructofuranosidase,3.2.1.26,sucrose,MULTISPECIES: CbiQ family ECF transporter T component [Cyanophyceae],🟢 Confirmed,WP_190645794.1
Chlorella vulgaris,beta-fructofuranosidase,3.2.1.26,sucrose,Acid beta-fructofuranosidase 2 [Chlorella vulgaris],🟢 Confirmed,KAL4857070.1
Chlorella vulgaris,beta-fructofuranosidase,3.2.1.26,sucrose,Acid beta-fructofuranosidase 4 [Chlorella vulgaris],🟢 Confirmed,KAL4855527.1
Nannochloris sp. 'desiccata',beta-fructofuranosidase,3.2.1.26,sucrose,hypothetical protein Ndes2526B_g02363 [Nannochloris sp. 'desiccata'],🟡 Probable/Hypothetical,KAL4545260.1
Nannochloris sp. 'desiccata',beta-fructofuranosidase,3.2.1.26,sucrose,hypothetical protein Ndes2437B_g03782 [Nannochloris sp. 'desiccata'],🟡 Probable/Hypothetical,KAL4530275.1
Nannochloris sp. 'desiccata',beta-fructofuranosidase,3.2.1.26,sucrose,hypothetical protein Ndes2437A_g03790 [Nannochloris sp. 'desiccata'],🟡 Probable/Hypothetical,KAL4525322.1
Nannochloris sp. 'desiccata',beta-fructofuranosidase,3.2.1.26,sucrose,hypothetical protein Ndes2526A_g02335 [Nannochloris sp. 'desiccata'],🟡 Probable/Hypothetical,KAL4517969.1
Durusdinium trenchii,beta-fructofuranosidase,3.2.1.26,sucrose,Beta-fructofuranosidase [Durusdinium trenchii],🟢 Confirmed,CAK9039095.1
Durusdinium trenchii,beta-fructofuranosidase,3.2.1.26,sucrose,Beta-fructofuranosidase [Durusdinium trenchii],🟢 Confirmed,CAK9039597.1
Picochlorum sp. SENEW3,beta-fructofuranosidase,3.2.1.26,sucrose,Acid beta-fructofuranosidase [Picochlorum sp. SENEW3],🟢 Confirmed,WPT16867.1
Tetradesmus obliquus,beta-fructofuranosidase,3.2.1.26,sucrose,hypothetical protein OEZ85_013588 [Tetradesmus obliquus],🟡 Probable/Hypothetical,WIA23949.1
Tetradesmus obliquus,beta-fructofuranosidase,3.2.1.26,sucrose,hypothetical protein OEZ85_000770 [Tetradesmus obliquus],🟡 Probable/Hypothetical,WIA21580.1
Tetradesmus obliquus,beta-fructofuranosidase,3.2.1.26,sucrose,hypothetical protein OEZ85_000492 [Tetradesmus obliquus],🟡 Probable/Hypothetical,WIA21257.1
Tetradesmus obliquus,beta-fructofuranosidase,3.2.1.26,sucrose,hypothetical protein OEZ85_007286 [Tetradesmus obliquus],🟡 Probable/Hypothetical,WIA13735.1
Tetradesmus obliquus,beta-fructofuranosidase,3.2.1.26,sucrose,hypothetical protein OEZ86_007207 [Tetradesmus obliquus],🟡 Probable/Hypothetical,WIA44458.1
Tetradesmus obliquus,beta-fructofuranosidase,3.2.1.26,sucrose,hypothetical protein OEZ86_009303 [Tetradesmus obliquus],🟡 Probable/Hypothetical,WIA42006.1
Tetradesmus obliquus,beta-fructofuranosidase,3.2.1.26,sucrose,hypothetical protein OEZ86_008923 [Tetradesmus obliquus],🟡 Probable/Hypothetical,WIA41557.1
Tetradesmus obliquus,beta-fructofuranosidase,3.2.1.26,sucrose,hypothetical protein OEZ86_006984 [Tetradesmus obliquus],🟡 Probable/Hypothetical,WIA33885.1
Tetradesmus obliquus,beta-fructofuranosidase,3.2.1.26,sucrose,hypothetical protein OEZ86_006466 [Tetradesmus obliquus],🟡 Probable/Hypothetical,WIA33329.1
Synechococcus sp. WH 7803,beta-fructofuranosidase,3.2.1.26,sucrose,Neutral invertase-like protein [Synechococcus sp. WH 7803],🟢 Confirmed,CAK22962.1
Chlorella ohadii,beta-fructofuranosidase,3.2.1.26,sucrose,hypothetical protein COHA_009986 [Chlorella ohadii],🟡 Probable/Hypothetical,KAI7836156.1
Planktothrix tepida,beta-fructofuranosidase,3.2.1.26,sucrose,"Alkaline/neutral invertase E, chloroplastic [Planktothrix tepida]",🟢 Confirmed,CAD5947086.1
Planktothrix pseudagardhii,beta-fructofuranosidase,3.2.1.26,sucrose,"Alkaline/neutral invertase E, chloroplastic [Planktothrix pseudagardhii]",🟢 Confirmed,CAD5963843.1
Nannochloris sp. 'desiccata',beta-fructofuranosidase,3.2.1.26,sucrose,putative Beta-fructofuranosidase 1 [Nannochloris sp. 'desiccata'],🟡 Probable/Hypothetical,KAH7623065.1
Coccomyxa sp. Obi,beta-fructofuranosidase,3.2.1.26,sucrose,"beta-fructofuranosidase, cell wall isozyme [Coccomyxa sp. Obi]",🟢 Confirmed,BDA50539.1
Coccomyxa sp. Obi,beta-fructofuranosidase,3.2.1.26,sucrose,"probable beta-fructofuranosidase, insoluble isoenzyme 1 at N-terminal half [Coccomyxa sp. Obi]",🟡 Probable/Hypothetical,BDA40914.1
Nannochloris sp. 'desiccata',beta-fructofuranosidase,3.2.1.26,sucrose,hypothetical protein KSW81_003314 [Nannochloris sp. 'desiccata'],🟡 Probable/Hypothetical,KAG7671175.1
Togula jolla,beta-fructofuranosidase,3.2.1.26,sucrose,unnamed protein product [Togula jolla],🟢 Confirmed,CAE2577766.1
Prorocentrum minimum,beta-fructofuranosidase,3.2.1.26,sucrose,"unnamed protein product, partial [Prorocentrum minimum]",🟡 Probable/Hypothetical,CAE1420429.1
Scenedesmus sp. PABB004,beta-fructofuranosidase,3.2.1.26,sucrose,CWINV3 [Scenedesmus sp. PABB004],🟢 Confirmed,KAF8059670.1
Scenedesmus sp. PABB004,beta-fructofuranosidase,3.2.1.26,sucrose,BFRUCT3 [Scenedesmus sp. PABB004],🟢 Confirmed,KAF8056752.1
Haematococcus lacustris,beta-fructofuranosidase,3.2.1.26,sucrose,"beta-fructofuranosidase, insoluble isoenzyme CWINV6, partial [Haematococcus lacustris]",🟡 Probable/Hypothetical,GFH20191.1
Haematococcus lacustris,beta-fructofuranosidase,3.2.1.26,sucrose,"beta-fructofuranosidase, partial [Haematococcus lacustris]",🟡 Probable/Hypothetical,GFH33134.1
Synechococcus sp. Ace-Pa,beta-fructofuranosidase,3.2.1.26,sucrose,beta-fructofuranosidase [Synechococcus sp. Ace-Pa],🟢 Confirmed,TWB92236.1
Nostoc sp. 3335mG,beta-fructofuranosidase,3.2.1.26,sucrose,glycoside hydrolase 68 family protein [Nostoc sp. 3335mG],🟢 Confirmed,PXA93021.1
Chlorella sorokiniana,beta-fructofuranosidase,3.2.1.26,sucrose,Beta-fructofuranosidase (invertase) (ISS) [Chlorella sorokiniana],🟢 Confirmed,PRW33763.1
Tetrabaena socialis,beta-fructofuranosidase,3.2.1.26,sucrose,"Beta-fructofuranosidase, insoluble isoenzyme CWINV6 [Tetrabaena socialis]",🟢 Confirmed,PNH10399.1
Symbiodinium microadriaticum,beta-fructofuranosidase,3.2.1.26,sucrose,"Beta-fructofuranosidase, insoluble isoenzyme CWINV2 [Symbiodinium microadriaticum]",🟢 Confirmed,OLP94793.1
Symbiodinium microadriaticum,beta-fructofuranosidase,3.2.1.26,sucrose,"Beta-fructofuranosidase, insoluble isoenzyme CWINV4 [Symbiodinium microadriaticum]",🟢 Confirmed,OLP76994.1
Umezakia ovalisporum,beta-fructofuranosidase,3.2.1.26,sucrose,Neutral invertase (Putative neutral invertase) (E C [Umezakia ovalisporum],🟡 Probable/Hypothetical,CEJ42571.1
Monoraphidium neglectum,beta-fructofuranosidase,3.2.1.26,sucrose,beta-fructofuranosidase [Monoraphidium neglectum],🟢 Confirmed,XP_013906688.1
Monoraphidium neglectum,beta-fructofuranosidase,3.2.1.26,sucrose,beta-fructofuranosidase [Monoraphidium neglectum],🟢 Confirmed,XP_013895023.1
Monoraphidium neglectum,beta-fructofuranosidase,3.2.1.26,sucrose,glycoside-hydrolase-like protein [Monoraphidium neglectum],🟢 Confirmed,XP_013890449.1
Tolypothrix sp. PCC 7601,beta-fructofuranosidase,3.2.1.26,sucrose,hypothetical protein FDUTEX481_07941 [Tolypothrix sp. PCC 7601],🟡 Probable/Hypothetical,EKF01494.1
Auxenochlorella protothecoides,beta-fructofuranosidase,3.2.1.26,sucrose,"Beta-fructofuranosidase, insoluble isoenzyme CWINV6 [Auxenochlorella protothecoides]",🟢 Confirmed,KFM23987.1
Moorena producens 3L,beta-fructofuranosidase,3.2.1.26,sucrose,alkaline and neutral invertase [Moorena producens 3L],🟢 Confirmed,EGJ31311.1
Chlorella variabilis,beta-fructofuranosidase,3.2.1.26,sucrose,hypothetical protein CHLNCDRAFT_136342 [Chlorella variabilis],🟡 Probable/Hypothetical,EFN53748.1
Monoraphidium neglectum,beta-fructofuranosidase,3.2.1.26,sucrose,beta-fructofuranosidase [Monoraphidium neglectum],🟢 Confirmed,KIZ07669.1
Monoraphidium neglectum,beta-fructofuranosidase,3.2.1.26,sucrose,beta-fructofuranosidase [Monoraphidium neglectum],🟢 Confirmed,KIY96003.1
Monoraphidium neglectum,beta-fructofuranosidase,3.2.1.26,sucrose,glycoside-hydrolase-like protein [Monoraphidium neglectum],🟢 Confirmed,KIY91429.1
Auxenochlorella protothecoides,beta-fructofuranosidase,3.2.1.26,sucrose,"Beta-fructofuranosidase, insoluble isoenzyme CWINV6 [Auxenochlorella protothecoides]",🟢 Confirmed,XP_011396865.1
Tetraselmis sp. GSL018,beta-fructofuranosidase,3.2.1.26,sucrose,beta-fructofuranosidase [Tetraselmis sp. GSL018],🟢 Confirmed,JAC78979.1
Tetraselmis sp. GSL018,beta-fructofuranosidase,3.2.1.26,sucrose,beta-fructofuranosidase [Tetraselmis sp. GSL018],🟢 Confirmed,JAC77882.1
Gloeobacter kilaueensis JS1,beta-fructofuranosidase,3.2.1.26,sucrose,beta-fructofuranosidase [Gloeobacter kilaueensis JS1],🟢 Confirmed,AGY59278.1
Anabaena sp. 90,beta-fructofuranosidase,3.2.1.26,sucrose,neutral invertase [Anabaena sp. 90],🟢 Confirmed,AFW95054.1
Chlorella variabilis,beta-fructofuranosidase,3.2.1.26,sucrose,hypothetical protein CHLNCDRAFT_136342 [Chlorella variabilis],🟡 Probable/Hypothetical,XP_005845850.1
Chroococcidiopsis thermalis PCC 7203,beta-fructofuranosidase,3.2.1.26,sucrose,alkaline and neutral invertase [Chroococcidiopsis thermalis PCC 7203],🟢 Confirmed,AFY89648.1
Chroococcidiopsis thermalis PCC 7203,beta-fructofuranosidase,3.2.1.26,sucrose,alkaline and neutral invertase [Chroococcidiopsis thermalis PCC 7203],🟢 Confirmed,AFY86511.1
Parasynechococcus marenigrum WH 8102,beta-fructofuranosidase,3.2.1.26,sucrose,putative neutral/alkaline invertase [Parasynechococcus marenigrum WH 8102],🟡 Probable/Hypothetical,CAD37137.1
Synechocystis sp. PCC 6803,beta-fructofuranosidase,3.2.1.26,sucrose,neutral invertase [Synechocystis sp. PCC 6803],🟢 Confirmed,CAD33848.1
Prochlorococcus marinus,beta-fructofuranosidase,3.2.1.26,sucrose,putative neutral/alkaline Invertase [Prochlorococcus marinus],🟡 Probable/Hypothetical,CAD37136.1
Prochlorococcus marinus subsp. pastoris str. CCMP1986,beta-fructofuranosidase,3.2.1.26,sucrose,putative neutral/alkaline invertase [Prochlorococcus marinus subsp. pastoris str. CCMP1986],🟡 Probable/Hypothetical,CAD37135.1
Nostoc punctiforme PCC 73102,beta-fructofuranosidase,3.2.1.26,sucrose,putative alkaline invertase [Nostoc punctiforme PCC 73102],🟡 Probable/Hypothetical,CAD37134.1
Nostoc punctiforme PCC 73102,beta-fructofuranosidase,3.2.1.26,sucrose,putative neutral invertase [Nostoc punctiforme PCC 73102],🟡 Probable/Hypothetical,CAD37133.1
Nostoc sp. PCC 7120 = FACHB-418,beta-fructofuranosidase,3.2.1.26,sucrose,Alkaline Invertase [Nostoc sp. PCC 7120 = FACHB-418],🟢 Confirmed,CAD37132.1
Nostoc sp. PCC 7120 = FACHB-418,beta-fructofuranosidase,3.2.1.26,sucrose,neutral invertase [Nostoc sp. PCC 7120 = FACHB-418],🟢 Confirmed,CAC85155.1
Coleofasciculus sp. G3-WIS-01,invertase,3.2.1.26,sucrose,"DUF520 family protein, partial [Coleofasciculus sp. G3-WIS-01]",🟡 Probable/Hypothetical,WP_446367020.1
Nostoc sphaeroides,invertase,3.2.1.26,sucrose,recombinase family protein [Nostoc sphaeroides],🟢 Confirmed,WP_267255927.1
Oxynema mangrovii,invertase,3.2.1.26,sucrose,glycoside hydrolase 100 family protein [Oxynema mangrovii],🟢 Confirmed,WP_200668100.1
Oxynema mangrovii,invertase,3.2.1.26,sucrose,glycoside hydrolase 100 family protein [Oxynema mangrovii],🟢 Confirmed,WP_200664565.1
unclassified Moorena,invertase,3.2.1.26,sucrose,MULTISPECIES: recombinase family protein [unclassified Moorena],🟢 Confirmed,WP_081431821.1
Microcoleus sp. T3_B1,invertase,3.2.1.26,sucrose,Uma2 family endonuclease [Microcoleus sp. T3_B1],🟢 Confirmed,WP_333465624.1
Microcoleus sp. Pol10D4,invertase,3.2.1.26,sucrose,Uma2 family endonuclease [Microcoleus sp. Pol10D4],🟢 Confirmed,WP_333457987.1
Microcoleus sp. herbarium5,invertase,3.2.1.26,sucrose,Uma2 family endonuclease [Microcoleus sp. herbarium5],🟢 Confirmed,WP_333455164.1
Microcoleus sp. D2_18a_D3,invertase,3.2.1.26,sucrose,Uma2 family endonuclease [Microcoleus sp. D2_18a_D3],🟢 Confirmed,WP_333435642.1
Microcoleus sp. MON2_D5,invertase,3.2.1.26,sucrose,Uma2 family endonuclease [Microcoleus sp. MON2_D5],🟢 Confirmed,WP_333433054.1
Microcoleus sp. F4-D5,invertase,3.2.1.26,sucrose,recombinase family protein [Microcoleus sp. F4-D5],🟢 Confirmed,WP_333427431.1
Microcoleus sp. K4-B3,invertase,3.2.1.26,sucrose,Uma2 family endonuclease [Microcoleus sp. K4-B3],🟢 Confirmed,WP_333398975.1
Microcoleus sp. N9_A1,invertase,3.2.1.26,sucrose,Uma2 family endonuclease [Microcoleus sp. N9_A1],🟢 Confirmed,WP_333397857.1
Microcoleus sp. N9_B4,invertase,3.2.1.26,sucrose,Uma2 family endonuclease [Microcoleus sp. N9_B4],🟢 Confirmed,WP_333376117.1
Microcoleus sp. N3A4,invertase,3.2.1.26,sucrose,Uma2 family endonuclease [Microcoleus sp. N3A4],🟢 Confirmed,WP_333357198.1
Microcoleus sp. N3A4,invertase,3.2.1.26,sucrose,recombinase family protein [Microcoleus sp. N3A4],🟢 Confirmed,WP_333355642.1
Microcoleus sp. w1-18aA5,invertase,3.2.1.26,sucrose,Uma2 family endonuclease [Microcoleus sp. w1-18aA5],🟢 Confirmed,WP_333348326.1
unclassified Microcoleus,invertase,3.2.1.26,sucrose,MULTISPECIES: Uma2 family endonuclease [unclassified Microcoleus],🟢 Confirmed,WP_333346029.1
Microcoleus sp. LAD1_D3,invertase,3.2.1.26,sucrose,Uma2 family endonuclease [Microcoleus sp. LAD1_D3],🟢 Confirmed,WP_333335354.1
Microcoleus sp. B4-C1,invertase,3.2.1.26,sucrose,recombinase family protein [Microcoleus sp. B4-C1],🟢 Confirmed,WP_333320954.1
unclassified Microcoleus,invertase,3.2.1.26,sucrose,MULTISPECIES: Uma2 family endonuclease [unclassified Microcoleus],🟢 Confirmed,WP_333316652.1
unclassified Microcoleus,invertase,3.2.1.26,sucrose,MULTISPECIES: Uma2 family endonuclease [unclassified Microcoleus],🟢 Confirmed,WP_333312281.1
unclassified Microcoleus,invertase,3.2.1.26,sucrose,MULTISPECIES: Uma2 family endonuclease [unclassified Microcoleus],🟢 Confirmed,WP_333293344.1
Microcoleus sp. D3_18_C2,invertase,3.2.1.26,sucrose,Uma2 family endonuclease [Microcoleus sp. D3_18_C2],🟢 Confirmed,WP_333272225.1
Microcoleus sp. S13_C5,invertase,3.2.1.26,sucrose,Uma2 family endonuclease [Microcoleus sp. S13_C5],🟢 Confirmed,WP_333258237.1
unclassified Microcoleus,invertase,3.2.1.26,sucrose,MULTISPECIES: Uma2 family endonuclease [unclassified Microcoleus],🟢 Confirmed,WP_333251705.1
unclassified Microcoleus,invertase,3.2.1.26,sucrose,MULTISPECIES: Uma2 family endonuclease [unclassified Microcoleus],🟢 Confirmed,WP_333242009.1
unclassified Microcoleus,invertase,3.2.1.26,sucrose,MULTISPECIES: Uma2 family endonuclease [unclassified Microcoleus],🟢 Confirmed,WP_333236255.1
unclassified Microcoleus,invertase,3.2.1.26,sucrose,MULTISPECIES: Uma2 family endonuclease [unclassified Microcoleus],🟢 Confirmed,WP_333234640.1
Microcoleus sp. BR0-C5,invertase,3.2.1.26,sucrose,Uma2 family endonuclease [Microcoleus sp. BR0-C5],🟢 Confirmed,WP_333224231.1
Microcoleus sp. S36b_A4,invertase,3.2.1.26,sucrose,Uma2 family endonuclease [Microcoleus sp. S36b_A4],🟢 Confirmed,WP_333213465.1
unclassified Microcoleus,invertase,3.2.1.26,sucrose,MULTISPECIES: Uma2 family endonuclease [unclassified Microcoleus],🟢 Confirmed,WP_333205608.1
unclassified Microcoleus,invertase,3.2.1.26,sucrose,MULTISPECIES: Uma2 family endonuclease [unclassified Microcoleus],🟢 Confirmed,WP_333180440.1
Microcoleus sp. B9-D4,invertase,3.2.1.26,sucrose,Uma2 family endonuclease [Microcoleus sp. B9-D4],🟢 Confirmed,WP_333157001.1
unclassified Microcoleus,invertase,3.2.1.26,sucrose,MULTISPECIES: Uma2 family endonuclease [unclassified Microcoleus],🟢 Confirmed,WP_333129605.1
unclassified Microcoleus,invertase,3.2.1.26,sucrose,MULTISPECIES: recombinase family protein [unclassified Microcoleus],🟢 Confirmed,WP_333081827.1
unclassified Microcoleus,invertase,3.2.1.26,sucrose,MULTISPECIES: Uma2 family endonuclease [unclassified Microcoleus],🟢 Confirmed,WP_333081471.1
unclassified Microcoleus,invertase,3.2.1.26,sucrose,MULTISPECIES: Uma2 family endonuclease [unclassified Microcoleus],🟢 Confirmed,WP_333074707.1
unclassified Microcoleus,invertase,3.2.1.26,sucrose,MULTISPECIES: Uma2 family endonuclease [unclassified Microcoleus],🟢 Confirmed,WP_333056254.1
unclassified Microcoleus,invertase,3.2.1.26,sucrose,MULTISPECIES: Uma2 family endonuclease [unclassified Microcoleus],🟢 Confirmed,WP_333042085.1
Acaryochloris marina,invertase,3.2.1.26,sucrose,recombinase family protein [Acaryochloris marina],🟢 Confirmed,WP_446078121.1
Acaryochloris marina,invertase,3.2.1.26,sucrose,recombinase family protein [Acaryochloris marina],🟢 Confirmed,WP_446077973.1
Acaryochloris marina,invertase,3.2.1.26,sucrose,recombinase family protein [Acaryochloris marina],🟢 Confirmed,WP_446077816.1
Acaryochloris marina,invertase,3.2.1.26,sucrose,recombinase family protein [Acaryochloris marina],🟢 Confirmed,WP_446075681.1
Fortiea sp. LEGE XX443,invertase,3.2.1.26,sucrose,recombinase family protein [Fortiea sp. LEGE XX443],🟢 Confirmed,WP_445236541.1
Coleofasciculus sp. FACHB-SPT9,invertase,3.2.1.26,sucrose,recombinase family protein [Coleofasciculus sp. FACHB-SPT9],🟢 Confirmed,WP_445223395.1
Chlorogloea sp. CCALA 695,invertase,3.2.1.26,sucrose,recombinase family protein [Chlorogloea sp. CCALA 695],🟢 Confirmed,WP_445223127.1
Microcoleus sp. K1-B6,invertase,3.2.1.26,sucrose,recombinase family protein [Microcoleus sp. K1-B6],🟢 Confirmed,WP_333484694.1
Microcoleus sp. K4-B3,invertase,3.2.1.26,sucrose,recombinase family protein [Microcoleus sp. K4-B3],🟢 Confirmed,WP_333399238.1
Microcoleus sp. N9_A1,invertase,3.2.1.26,sucrose,recombinase family protein [Microcoleus sp. N9_A1],🟢 Confirmed,WP_333397931.1
Microcoleus sp. AT3-D2,invertase,3.2.1.26,sucrose,recombinase family protein [Microcoleus sp. AT3-D2],🟢 Confirmed,WP_333373454.1
unclassified Microcoleus,invertase,3.2.1.26,sucrose,MULTISPECIES: recombinase family protein [unclassified Microcoleus],🟢 Confirmed,WP_333306827.1
Microcoleus sp. AT13-A6,invertase,3.2.1.26,sucrose,recombinase family protein [Microcoleus sp. AT13-A6],🟢 Confirmed,WP_333299310.1
unclassified Microcoleus,invertase,3.2.1.26,sucrose,MULTISPECIES: recombinase family protein [unclassified Microcoleus],🟢 Confirmed,WP_333257683.1
unclassified Microcoleus,invertase,3.2.1.26,sucrose,MULTISPECIES: recombinase family protein [unclassified Microcoleus],🟢 Confirmed,WP_333249554.1
unclassified Microcoleus,invertase,3.2.1.26,sucrose,MULTISPECIES: recombinase family protein [unclassified Microcoleus],🟢 Confirmed,WP_333235279.1
unclassified Microcoleus,invertase,3.2.1.26,sucrose,MULTISPECIES: recombinase family protein [unclassified Microcoleus],🟢 Confirmed,WP_333208587.1
unclassified Microcoleus,invertase,3.2.1.26,sucrose,MULTISPECIES: recombinase family protein [unclassified Microcoleus],🟢 Confirmed,WP_333207299.1
unclassified Microcoleus,invertase,3.2.1.26,sucrose,MULTISPECIES: recombinase family protein [unclassified Microcoleus],🟢 Confirmed,WP_333204450.1
unclassified Microcoleus,invertase,3.2.1.26,sucrose,MULTISPECIES: recombinase family protein [unclassified Microcoleus],🟢 Confirmed,WP_333085826.1
unclassified Microcoleus,invertase,3.2.1.26,sucrose,MULTISPECIES: recombinase family protein [unclassified Microcoleus],🟢 Confirmed,WP_333041894.1
unclassified Microcoleus,invertase,3.2.1.26,sucrose,MULTISPECIES: response regulator [unclassified Microcoleus],🟢 Confirmed,WP_333081470.1
Nostoc sp.,invertase,3.2.1.26,sucrose,recombinase family protein [Nostoc sp.],🟢 Confirmed,WP_442935746.1
Spirulina sp.,invertase,3.2.1.26,sucrose,recombinase family protein [Spirulina sp.],🟢 Confirmed,WP_439638175.1
Spirulina sp.,invertase,3.2.1.26,sucrose,recombinase family protein [Spirulina sp.],🟢 Confirmed,WP_439637970.1
Vacuolonema iberomarrocanum,invertase,3.2.1.26,sucrose,Uma2 family endonuclease [Vacuolonema iberomarrocanum],🟢 Confirmed,WP_439342050.1
Vulcanococcus sp.,invertase,3.2.1.26,sucrose,recombinase family protein [Vulcanococcus sp.],🟢 Confirmed,WP_438982346.1
Nostoc sp. CALU 1950,invertase,3.2.1.26,sucrose,Uma2 family endonuclease [Nostoc sp. CALU 1950],🟢 Confirmed,WP_435023179.1
unclassified Thermostichus,invertase,3.2.1.26,sucrose,MULTISPECIES: glycoside hydrolase 100 family protein [unclassified Thermostichus],🟢 Confirmed,WP_457509151.1
Thermostichus sp. MS-CIW-15,invertase,3.2.1.26,sucrose,glycoside hydrolase 100 family protein [Thermostichus sp. MS-CIW-15],🟢 Confirmed,WP_457501887.1
unclassified Thermostichus,invertase,3.2.1.26,sucrose,MULTISPECIES: glycoside hydrolase 100 family protein [unclassified Thermostichus],🟢 Confirmed,WP_457415730.1
unclassified Thermostichus,invertase,3.2.1.26,sucrose,MULTISPECIES: glycoside hydrolase 100 family protein [unclassified Thermostichus],🟢 Confirmed,WP_457391255.1
Dolichospermum sp. UHCC 0315A,invertase,3.2.1.26,sucrose,hypothetical protein [Dolichospermum sp. UHCC 0315A],🟡 Probable/Hypothetical,WP_231939850.1
Planktothrix sp. FACHB-1355,invertase,3.2.1.26,sucrose,Rpn family recombination-promoting nuclease/putative transposase [Planktothrix sp. FACHB-1355],🟡 Probable/Hypothetical,WP_199315568.1
Kaarinaea lacus,invertase,3.2.1.26,sucrose,"glycoside hydrolase 100 family protein, partial [Kaarinaea lacus]",🟡 Probable/Hypothetical,WP_455203912.1
Kaarinaea lacus,invertase,3.2.1.26,sucrose,"glycoside hydrolase 100 family protein, partial [Kaarinaea lacus]",🟡 Probable/Hypothetical,WP_455202464.1
Phormidium nigroviride,invertase,3.2.1.26,sucrose,recombinase family protein [Phormidium nigroviride],🟢 Confirmed,WP_449415990.1
Phormidium nigroviride,invertase,3.2.1.26,sucrose,glycosyl hydrolase 108 family protein [Phormidium nigroviride],🟢 Confirmed,WP_449415976.1
Thermoleptolyngbya sp. C42_A2020_037,invertase,3.2.1.26,sucrose,serine integrase family protein [Thermoleptolyngbya sp. C42_A2020_037],🟢 Confirmed,WP_297085113.1
Moorena sp. SIO3I6,invertase,3.2.1.26,sucrose,FliH/SctL family protein [Moorena sp. SIO3I6],🟢 Confirmed,WP_293108078.1
Nostoc sp. JL33,invertase,3.2.1.26,sucrose,RpnC/YadD family protein [Nostoc sp. JL33],🟢 Confirmed,WP_292838075.1
Microcystis sp. CS-574,invertase,3.2.1.26,sucrose,RpnC/YadD family protein [Microcystis sp. CS-574],🟢 Confirmed,WP_272103374.1
Tolypothrix sp. PCC 7910,invertase,3.2.1.26,sucrose,serine integrase family protein [Tolypothrix sp. PCC 7910],🟢 Confirmed,WP_167727072.1
Nostoc sp. 'Peltigera malacea cyanobiont' DB3992,invertase,3.2.1.26,sucrose,RpnC/YadD family protein [Nostoc sp. 'Peltigera malacea cyanobiont' DB3992],🟢 Confirmed,WP_099101865.1
unclassified Nostoc,invertase,3.2.1.26,sucrose,MULTISPECIES: RpnC/YadD family protein [unclassified Nostoc],🟢 Confirmed,WP_094342468.1
Moorena bouillonii,invertase,3.2.1.26,sucrose,FliH/SctL family protein [Moorena bouillonii],🟢 Confirmed,WP_075899023.1
Myxosarcina sp. GI1(2024),invertase,3.2.1.26,sucrose,recombinase family protein [Myxosarcina sp. GI1(2024)],🟢 Confirmed,WP_449003311.1
Thermoleptolyngbya sp.,invertase,3.2.1.26,sucrose,serine integrase family protein [Thermoleptolyngbya sp.],🟢 Confirmed,WP_448604114.1
Thermoleptolyngbya sp.,invertase,3.2.1.26,sucrose,serine integrase family protein [Thermoleptolyngbya sp.],🟢 Confirmed,WP_448596144.1
Phormidesmis priestleyi,invertase,3.2.1.26,sucrose,glycosyl hydrolase 108 family protein [Phormidesmis priestleyi],🟢 Confirmed,WP_448284466.1
Nostoc sp. DSM 114160,invertase,3.2.1.26,sucrose,Uma2 family endonuclease [Nostoc sp. DSM 114160],🟢 Confirmed,WP_448275654.1
Nostoc sp. DSM 114159,invertase,3.2.1.26,sucrose,Uma2 family endonuclease [Nostoc sp. DSM 114159],🟢 Confirmed,WP_448266706.1
Phormidesmis sp. 146-33,invertase,3.2.1.26,sucrose,recombinase family protein [Phormidesmis sp. 146-33],🟢 Confirmed,WP_446880512.1
Phormidesmis sp. 146-33,invertase,3.2.1.26,sucrose,glycosyl hydrolase 108 family protein [Phormidesmis sp. 146-33],🟢 Confirmed,WP_446875622.1
Phormidesmis sp. 146-12,invertase,3.2.1.26,sucrose,glycosyl hydrolase 108 family protein [Phormidesmis sp. 146-12],🟢 Confirmed,WP_446868972.1
Phormidesmis sp. 146-12,invertase,3.2.1.26,sucrose,recombinase family protein [Phormidesmis sp. 146-12],🟢 Confirmed,WP_446868448.1
Phormidesmis sp. 146-12,invertase,3.2.1.26,sucrose,glycoside hydrolase 100 family protein [Phormidesmis sp. 146-12],🟢 Confirmed,WP_446867792.1
unclassified Phormidesmis,invertase,3.2.1.26,sucrose,MULTISPECIES: glycoside hydrolase 100 family protein [unclassified Phormidesmis],🟢 Confirmed,WP_446858922.1
unclassified Phormidesmis,invertase,3.2.1.26,sucrose,MULTISPECIES: glycosyl hydrolase 108 family protein [unclassified Phormidesmis],🟢 Confirmed,WP_446858740.1
